Timestamp,MeterKey,MeterReading,Day,Weekday,IsWeekend,IsHoliday,WeekOfMonth,WeekOfYear,Month,Quarter,Hour24,Hour12ShortString,AmPmCode,Minute,HalfHour,FullTimeString24,ApparentTemperature,RelativeHumidity,CDD,HDD
2018-01-01 00:15:00,707,4.672,1,2,0,1,1,1,1,1,0,00,AM,15,0,00:15:00,16.0,86.0,0.6978947368421053,0.8936842105263157
2018-01-01 00:30:00,707,5.281,1,2,0,1,1,1,1,1,0,00,AM,30,1,00:30:00,16.0,87.0,0.6978947368421053,0.8936842105263157
2018-01-01 00:45:00,707,4.609,1,2,0,1,1,1,1,1,0,00,AM,45,1,00:45:00,16.2,87.0,0.6978947368421053,0.8936842105263157
2018-01-01 01:00:00,707,4.984,1,2,0,1,1,1,1,1,1,01,AM,0,0,01:00:00,16.7,87.0,0.6978947368421053,0.8936842105263157
2018-01-01 01:15:00,707,5.078,1,2,0,1,1,1,1,1,1,01,AM,15,0,01:15:00,16.4,87.0,0.6978947368421053,0.8936842105263157
2018-01-01 01:30:00,707,5.031,1,2,0,1,1,1,1,1,1,01,AM,30,1,01:30:00,16.6,90.0,0.6978947368421053,0.8936842105263157
2018-01-01 01:45:00,707,4.844,1,2,0,1,1,1,1,1,1,01,AM,45,1,01:45:00,16.6,90.0,0.6978947368421053,0.8936842105263157
2018-01-01 02:00:00,707,3.594,1,2,0,1,1,1,1,1,2,02,AM,0,0,02:00:00,16.2,91.0,0.6978947368421053,0.8936842105263157
2018-01-01 02:15:00,707,3.781,1,2,0,1,1,1,1,1,2,02,AM,15,0,02:15:00,16.1,93.0,0.6978947368421053,0.8936842105263157
2018-01-01 02:30:00,707,3.906,1,2,0,1,1,1,1,1,2,02,AM,30,1,02:30:00,15.8,96.0,0.6978947368421053,0.8936842105263157
2018-01-01 02:45:00,707,4.031,1,2,0,1,1,1,1,1,2,02,AM,45,1,02:45:00,16.0,97.0,0.6978947368421053,0.8936842105263157
2018-01-01 03:00:00,707,4.062,1,2,0,1,1,1,1,1,3,03,AM,0,0,03:00:00,15.9,99.0,0.6978947368421053,0.8936842105263157
2018-01-01 03:15:00,707,4.0,1,2,0,1,1,1,1,1,3,03,AM,15,0,03:15:00,16.2,99.0,0.6978947368421053,0.8936842105263157
2018-01-01 03:30:00,707,3.453,1,2,0,1,1,1,1,1,3,03,AM,30,1,03:30:00,16.0,97.0,0.6978947368421053,0.8936842105263157
2018-01-01 03:45:00,707,4.125,1,2,0,1,1,1,1,1,3,03,AM,45,1,03:45:00,15.2,98.0,0.6978947368421053,0.8936842105263157
2018-01-01 04:00:00,707,3.453,1,2,0,1,1,1,1,1,4,04,AM,0,0,04:00:00,16.2,98.0,0.6978947368421053,0.8936842105263157
2018-01-01 04:15:00,707,3.438,1,2,0,1,1,1,1,1,4,04,AM,15,0,04:15:00,16.4,98.0,0.6978947368421053,0.8936842105263157
2018-01-01 04:30:00,707,3.969,1,2,0,1,1,1,1,1,4,04,AM,30,1,04:30:00,16.7,96.0,0.6978947368421053,0.8936842105263157
2018-01-01 04:45:00,707,3.609,1,2,0,1,1,1,1,1,4,04,AM,45,1,04:45:00,16.4,97.0,0.6978947368421053,0.8936842105263157
2018-01-01 05:00:00,707,3.938,1,2,0,1,1,1,1,1,5,05,AM,0,0,05:00:00,16.7,96.0,0.6978947368421053,0.8936842105263157
2018-01-01 05:15:00,707,3.266,1,2,0,1,1,1,1,1,5,05,AM,15,0,05:15:00,16.5,96.0,0.6978947368421053,0.8936842105263157
